ticker,expiry,long_strike,short_strike,debit,width,max_profit,max_loss,breakeven,ev,p_be,p50,liq_score,flow_score,edge_score,score
PLTR,2026-02-27,160.0,170.0,2.1950000000000003,10.0,7.805,2.1950000000000003,162.195,2.240963022958481,0.4759,-1.959383073296344,83.88478689363882,27.126965654827103,68.554,63.563016826480364
PLTR,2026-02-27,170.0,190.0,1.9549999999999998,20.0,18.045,1.9549999999999998,171.955,3.8137835898085615,0.3666,-1.9549999999999998,81.02366967752158,31.729597990845516,61.99600000000001,61.08908388484393
PLTR,2026-02-27,160.0,175.0,2.935,15.0,12.065,2.935,162.935,3.3018916985018865,0.4674,-2.6993830732963437,78.41354389539823,25.055641473910704,68.044,60.92625073186706
PLTR,2026-02-27,170.0,175.0,0.7399999999999998,5.0,4.26,0.7399999999999998,170.74,1.0609286755434055,0.3781,-0.7399999999999998,79.55371540442164,29.51215258328326,62.686,60.29623853736838
PLTR,2026-02-27,170.0,185.0,1.6599999999999997,15.0,13.34,1.6599999999999997,171.66,2.9992384539916244,0.3697,-1.6599999999999997,76.29379890393335,30.814159906763507,62.182,59.27916959306755
PLTR,2026-02-27,160.0,180.0,3.4650000000000003,20.0,16.535,3.4650000000000003,163.465,4.319262719253412,0.4612,-3.229383073296344,79.68769674129906,15.00544003868472,67.672,58.710853869125856
PLTR,2026-02-27,175.0,190.0,1.215,15.0,13.785,1.215,176.215,2.7528549142651544,0.3223,-1.215,75.552426679281,29.658273809929117,59.338,57.593117790230636
PLTR,2026-02-27,175.0,180.0,0.5300000000000002,5.0,4.47,0.5300000000000002,175.53,1.0173710207515254,0.3302,-0.5300000000000002,75.35662525208188,17.39062696714088,59.812,54.64727558001388
PLTR,2026-02-27,175.0,195.0,1.4250000000000003,20.0,18.575,1.4250000000000003,176.425,3.4712281717066595,0.3202,-1.4250000000000003,66.6714742983286,26.23932494248449,59.211999999999996,53.57964724003613
AMD,2026-02-27,250.0,255.0,1.6500000000000004,5.0,3.3499999999999996,1.6500000000000004,251.65,0.49474917413687736,0.4371,-1.6500000000000004,72.09115794693774,7.9428111884118655,38.21991937301521,42.50557582773726
AMD,2026-02-27,250.0,260.0,3.075,10.0,6.925,3.075,253.075,0.9786919535452984,0.4233,-3.075,71.47204560776152,8.832505708796983,38.12895224123965,42.47492328641164
AMD,2026-02-27,255.0,270.0,3.675,15.0,11.325,3.675,258.675,1.4216523582481322,0.3718,-3.675,69.32612956005332,11.933120849304194,37.781767164605526,42.360132424186915
AMD,2026-02-27,255.0,260.0,1.4249999999999998,5.0,3.575,1.4249999999999998,256.425,0.48394277940842084,0.3901,-1.4249999999999998,71.32467144460753,10.386901224295732,36.99035872023637,42.356503799781116
AMD,2026-02-27,260.0,270.0,2.25,10.0,7.75,2.25,262.25,0.9377095788397115,0.3417,-2.25,68.70701722087708,12.822815369689312,37.17239251270599,42.122116874811695
AMD,2026-02-27,270.0,280.0,1.6750000000000003,10.0,8.325,1.6750000000000003,271.675,0.7582432944059578,0.2675,-1.6750000000000003,68.1737248476486,11.69136034775002,34.157302552978095,40.44656480480575
AMD,2026-02-27,270.0,280.0,1.6750000000000003,10.0,8.325,1.6750000000000003,271.675,0.7582432944059578,0.2675,-1.6750000000000003,68.1737248476486,11.69136034775002,34.157302552978095,40.44656480480575
AMD,2026-02-27,255.0,265.0,2.625,10.0,7.375,2.625,257.625,0.9804880214371297,0.3804,-2.625,60.992929627740935,11.415270018621975,37.76476985047055,39.30725081455304
AMD,2026-02-27,250.0,265.0,4.275,15.0,10.725,4.275,254.275,1.4752371955740073,0.4108,-4.275,61.14030379089492,9.860874503123226,38.451388964435154,39.24488053836809
AMD,2026-02-27,260.0,265.0,1.2000000000000002,5.0,3.8,1.2000000000000002,261.2,0.4965452420287087,0.3492,-1.2000000000000002,60.37381728856471,12.304964539007091,37.50350806762363,39.20848041279887
